,times__trf
35571,403.1161630153656
35572,403.1281940937042
35573,403.13932704925537
35574,403.1508069038391
35575,403.1616384983063
35576,403.17303228378296
35577,403.18427658081055
35578,403.1945161819458
35579,403.2066810131073
35580,403.21860551834106
35581,403.23113465309143
35582,403.2419898509979
35583,403.2526309490204
35584,403.2636137008667
35585,403.2741801738739
35586,403.28556871414185
35587,403.2965474128723
35588,403.3074734210968
35589,403.31891345977783
35590,403.32996678352356
35591,403.34058117866516
35592,403.3511493206024
35593,403.36279010772705
35594,403.3740372657776
35595,403.3844790458679
35596,403.3951895236969
35597,403.40756034851074
35598,403.4189462661743
35599,403.4294135570526
35600,403.44043731689453
35601,403.4516625404358
35602,403.46314549446106
35603,403.47417974472046
35604,403.48465490341187
35605,403.49491453170776
35606,403.5067527294159
35607,403.5176978111267
35608,403.52985167503357
35609,403.5408544540405
35610,403.55165100097656
35611,403.56255984306335
35612,403.5737054347992
35613,403.5855224132538
35614,403.5968964099884
35615,403.6085753440857
35616,403.61925077438354
35617,403.6311514377594
35618,403.6423990726471
35619,403.6554055213928
35620,403.66658639907837
35621,403.6772437095642
35622,403.68864822387695
35623,403.69906091690063
35624,403.71008682250977
35625,403.720516204834
35626,403.73128032684326
35627,403.7420060634613
35628,403.75322437286377
35629,403.764732837677
35630,403.7769021987915
35631,403.78763127326965
35632,403.7982494831085
35633,403.8086793422699
35634,403.819228887558
35635,403.83095383644104
35636,403.8428564071655
35637,403.85408210754395
35638,403.8656301498413
35639,403.87670397758484
35640,403.8873383998871
35641,403.898921251297
35642,403.9097945690155
35643,403.9206428527832
35644,403.9331090450287
35645,403.9436752796173
35646,403.9556791782379
35647,403.966103553772
35648,403.9787108898163
35649,403.9896192550659
35650,404.00072383880615
35651,404.01164269447327
35652,404.02218794822693
35653,404.0329420566559
35654,404.0452764034271
35655,404.057080745697
35656,404.0682475566864
35657,404.07881236076355
35658,404.0889666080475
35659,404.10020112991333
35660,404.1114716529846
35661,404.1226489543915
35662,404.1337540149689
35663,404.1451895236969
35664,404.15548849105835
35665,404.16646003723145
35666,404.1777582168579
35667,404.1885302066803
35668,404.1999845504761
35669,404.2113444805145
35670,404.2221143245697
35671,404.2332603931427
35672,404.24479126930237
35673,404.2551574707031
35674,404.26574969291687
35675,404.2769384384155
35676,404.28787088394165
35677,404.2996780872345
35678,404.3115532398224
35679,404.3232641220093
35680,404.33379340171814
35681,404.34531235694885
35682,404.3566288948059
35683,404.3670310974121
35684,404.3779263496399
35685,404.38962602615356
35686,404.40066385269165
35687,404.4114456176758
35688,404.42198181152344
35689,404.4335341453552
35690,404.4444308280945
35691,404.4567904472351
35692,404.4674711227417
35693,404.4789276123047
35694,404.49037766456604
35695,404.50182723999023
35696,404.51261019706726
35697,404.5243573188782
35698,404.53602170944214
35699,404.54688811302185
35700,404.55728554725647
35701,404.56759095191956
35702,404.57870531082153
35703,404.5898082256317
35704,404.6017036437988
35705,404.6156237125397
35706,404.6266267299652
35707,404.63947319984436
35708,404.6500997543335
35709,404.66103410720825
35710,404.6733355522156
35711,404.68539786338806
35712,404.6959013938904
35713,404.70847272872925
35714,404.71954011917114
35715,404.7316792011261
35716,404.74186658859253
35717,404.7520236968994
35718,404.7636663913727
35719,404.7745819091797
35720,404.7857232093811
35721,404.7970218658447
35722,404.8082706928253
35723,404.8196051120758
35724,404.8308570384979
35725,404.8424777984619
35726,404.8533537387848
35727,404.8646619319916
35728,404.87631392478943
35729,404.88678431510925
35730,404.8974277973175
35731,404.9079897403717
35732,404.9190194606781
35733,404.93066787719727
35734,404.9416012763977
35735,404.95322132110596
35736,404.96454882621765
35737,404.97566509246826
35738,404.98591804504395
35739,404.99680495262146
35740,405.0075206756592
35741,405.01765847206116
35742,405.0283136367798
35743,405.03924798965454
35744,405.05127716064453
35745,405.0616867542267
35746,405.0724136829376
35747,405.08447074890137
35748,405.09541630744934
35749,405.1070671081543
35750,405.1173379421234
35751,405.12787437438965
35752,405.13868618011475
35753,405.14927196502686
35754,405.1595368385315
35755,405.1708586215973
35756,405.1815490722656
35757,405.1926124095917
35758,405.2033853530884
35759,405.2148175239563
35760,405.2252268791199
35761,405.2361328601837
35762,405.2479422092438
35763,405.25916957855225
35764,405.2720766067505
35765,405.28248500823975
35766,405.2932460308075
35767,405.3038499355316
35768,405.3143107891083
35769,405.3256986141205
35770,405.3365924358368
35771,405.34756422042847
35772,405.35903334617615
35773,405.37028455734253
35774,405.3811676502228
35775,405.392697095871
35776,405.4037857055664
35777,405.41477060317993
35778,405.4261507987976
35779,405.4380373954773
35780,405.4500479698181
35781,405.46149373054504
35782,405.4736304283142
35783,405.4838511943817
35784,405.49570059776306
35785,405.5071051120758
35786,405.51918935775757
35787,405.529949426651
35788,405.5415246486664
35789,405.5528428554535
35790,405.56396436691284
35791,405.5746259689331
35792,405.5861110687256
35793,405.5980222225189
35794,405.6092116832733
35795,405.6209933757782
35796,405.6358075141907
35797,405.6468138694763
35798,405.6588752269745
35799,405.66930866241455
35800,405.6800274848938
35801,405.69004225730896
35802,405.7003502845764
35803,405.71089148521423
35804,405.72297263145447
35805,405.734423160553
35806,405.7446126937866
35807,405.75623416900635
35808,405.7674672603607
35809,405.77874064445496
35810,405.78959345817566
35811,405.8011655807495
35812,405.8124282360077
35813,405.823335647583
35814,405.83584094047546
35815,405.84734654426575
35816,405.85855507850647
35817,405.86937046051025
35818,405.8803279399872
35819,405.8920810222626
35820,405.90508794784546
35821,405.91625809669495
35822,405.9277560710907
35823,405.93873286247253
35824,405.94936203956604
35825,405.9614849090576
35826,405.97282814979553
35827,405.98440289497375
35828,405.99569606781006
35829,406.0064721107483
35830,406.01680278778076
35831,406.0289931297302
35832,406.04439997673035
35833,406.05496621131897
35834,406.0657706260681
35835,406.0767650604248
35836,406.0877938270569
35837,406.0983920097351
35838,406.1088786125183
35839,406.11937975883484
35840,406.1306014060974
35841,406.1416714191437
35842,406.1527626514435
35843,406.16436862945557
35844,406.1747097969055
35845,406.1854016780853
35846,406.1964108943939
35847,406.2068033218384
35848,406.2172830104828
35849,406.22818326950073
35850,406.2393307685852
35851,406.2517740726471
35852,406.26338267326355
35853,406.2753357887268
35854,406.28703927993774
35855,406.297958612442
35856,406.30917406082153
35857,406.3201231956482
35858,406.3314652442932
35859,406.34364581108093
35860,406.3547353744507
35861,406.36507391929626
35862,406.37647914886475
35863,406.3871512413025
35864,406.39743280410767
35865,406.4087827205658
35866,406.4196870326996
35867,406.42995429039
35868,406.4406588077545
35869,406.45107674598694
35870,406.4615330696106
35871,406.4729280471802
35872,406.48302936553955
35873,406.49337434768677
35874,406.50430035591125
35875,406.5148956775665
35876,406.52511978149414
35877,406.53687500953674
35878,406.54801416397095
35879,406.5600416660309
35880,406.57140350341797
35881,406.58222126960754
35882,406.5928382873535
35883,406.6038558483124
35884,406.616094827652
35885,406.62755393981934
35886,406.6377534866333
35887,406.6499283313751
35888,406.66077613830566
35889,406.67254066467285
35890,406.6840798854828
35891,406.69559478759766
35892,406.7076299190521
35893,406.71856904029846
35894,406.7301251888275
35895,406.74242067337036
35896,406.7527811527252
35897,406.76319003105164
35898,406.7747449874878
35899,406.7859265804291
35900,406.79671454429626
35901,406.8084366321564
35902,406.81980419158936
35903,406.83126878738403
35904,406.8427839279175
35905,406.8542494773865
35906,406.86435866355896
35907,406.87482476234436
35908,406.88632893562317
35909,406.89834666252136
35910,406.9107315540314
35911,406.92349314689636
35912,406.9346945285797
35913,406.9455940723419
35914,406.95599389076233
35915,406.967618227005
35916,406.97791361808777
35917,406.9891848564148
35918,407.00043535232544
35919,407.0118234157562
35920,407.0236930847168
35921,407.03516030311584
35922,407.04640531539917
35923,407.05714678764343
35924,407.0685019493103
35925,407.07970428466797
35926,407.0907881259918
35927,407.10114312171936
35928,407.11294388771057
35929,407.1244969367981
35930,407.135479927063
35931,407.1463303565979
35932,407.1578187942505
35933,407.1681818962097
35934,407.1799921989441
35935,407.19127321243286
35936,407.20257687568665
35937,407.21352982521057
35938,407.2241759300232
35939,407.2356436252594
35940,407.2465920448303
35941,407.2572572231293
35942,407.2689116001129
35943,407.27999567985535
35944,407.29060101509094
35945,407.3014943599701
35946,407.313898563385
35947,407.3244776725769
35948,407.3347520828247
35949,407.34615778923035
35950,407.3578431606293
35951,407.368864774704
35952,407.37950015068054
35953,407.39105439186096
35954,407.40238881111145
35955,407.41360688209534
35956,407.4240598678589
35957,407.4348375797272
35958,407.44606947898865
35959,407.457248210907
35960,407.46806025505066
35961,407.4789204597473
35962,407.4927599430084
35963,407.5047359466553
35964,407.51576709747314
35965,407.52718591690063
35966,407.5376389026642
35967,407.54787135124207
35968,407.558217048645
35969,407.571008682251
35970,407.5813422203064
35971,407.5914363861084
35972,407.60306692123413
35973,407.6134293079376
35974,407.624963760376
35975,407.6361904144287
35976,407.6479856967926
35977,407.658894777298
35978,407.6705205440521
35979,407.68110489845276
35980,407.69229769706726
35981,407.703488111496
35982,407.7144739627838
35983,407.7256739139557
35984,407.7363657951355
35985,407.7474355697632
35986,407.75912594795227
35987,407.7707691192627
35988,407.78167939186096
35989,407.79298090934753
35990,407.80417108535767
35991,407.8153500556946
35992,407.8261203765869
35993,407.83713603019714
35994,407.84729957580566
35995,407.85871720314026
35996,407.8690388202667
35997,407.8808708190918
35998,407.89302468299866
35999,407.9034757614136
36000,407.91461730003357
36001,407.92579078674316
36002,407.93735003471375
36003,407.94899559020996
36004,407.96119260787964
36005,407.97189688682556
36006,407.9831488132477
36007,407.993168592453
36008,408.0043058395386
36009,408.01527547836304
36010,408.0256493091583
36011,408.03613018989563
36012,408.047301530838
36013,408.0586795806885
36014,408.0692811012268
36015,408.0809202194214
36016,408.0917716026306
36017,408.1029977798462
36018,408.1145236492157
36019,408.12583088874817
36020,408.1363251209259
36021,408.14674615859985
36022,408.1571698188782
36023,408.1677916049957
36024,408.178715467453
36025,408.19013476371765
36026,408.20175647735596
36027,408.21343541145325
36028,408.2245991230011
36029,408.2349762916565
36030,408.2454845905304
36031,408.25654315948486
36032,408.2671341896057
36033,408.27724742889404
36034,408.2880256175995
36035,408.30001759529114
36036,408.31166195869446
36037,408.3227024078369
36038,408.33394956588745
36039,408.34429597854614
36040,408.35450768470764
36041,408.36554884910583
36042,408.3775088787079
36043,408.3890540599823
36044,408.4003427028656
36045,408.4112911224365
36046,408.421936750412
36047,408.433123588562
36048,408.4442901611328
36049,408.45531153678894
36050,408.4665811061859
36051,408.4778230190277
36052,408.4882836341858
36053,408.4992437362671
36054,408.51125979423523
36055,408.5224463939667
36056,408.5327641963959
36057,408.5448477268219
36058,408.5558726787567
36059,408.5675935745239
36060,408.5791177749634
36061,408.59099674224854
36062,408.6016843318939
36063,408.6136531829834
36064,408.6249713897705
36065,408.63573813438416
36066,408.64643025398254
36067,408.65658020973206
36068,408.6687664985657
