,times__sm
23231,127.21834349632263
23232,127.22300052642822
23233,127.23032402992249
23234,127.23628449440002
23235,127.24274754524231
23236,127.24737095832825
23237,127.25316262245178
23238,127.25714373588562
23239,127.26379489898682
23240,127.26854586601257
23241,127.27336096763611
23242,127.2803008556366
23243,127.28422379493713
23244,127.29001045227051
23245,127.29622101783752
23246,127.30154299736023
23247,127.30625414848328
23248,127.30990767478943
23249,127.3150086402893
23250,127.31867027282715
23251,127.32521295547485
23252,127.33043026924133
23253,127.3360435962677
23254,127.34131336212158
23255,127.34751391410828
23256,127.35599374771118
23257,127.36084628105164
23258,127.36578702926636
23259,127.37106084823608
23260,127.37636685371399
23261,127.38218951225281
23262,127.38697242736816
23263,127.39082193374634
23264,127.3967707157135
23265,127.40336847305298
23266,127.40709495544434
23267,127.41220903396606
23268,127.41782522201538
23269,127.42171335220337
23270,127.42643213272095
23271,127.43059659004211
23272,127.43663787841797
23273,127.4419755935669
23274,127.44630432128906
23275,127.4526879787445
23276,127.45599627494812
23277,127.46057033538818
23278,127.46422147750854
23279,127.47116160392761
23280,127.47732734680176
23281,127.48284697532654
23282,127.48981738090515
23283,127.49388885498047
23284,127.49905157089233
23285,127.5032308101654
23286,127.50939726829529
23287,127.51544761657715
23288,127.51969528198242
23289,127.52523922920227
23290,127.52882289886475
23291,127.53398656845093
23292,127.5381691455841
23293,127.54353356361389
23294,127.54684734344482
23295,127.55252051353455
23296,127.55679869651794
23297,127.56307196617126
23298,127.56997561454773
23299,127.57616186141968
23300,127.58236646652222
23301,127.59397792816162
23302,127.5991702079773
23303,127.60713815689087
23304,127.61418747901917
23305,127.62108874320984
23306,127.62616205215454
23307,127.62977433204651
23308,127.6365258693695
23309,127.63989496231079
23310,127.64588689804077
23311,127.65130186080933
23312,127.65782070159912
23313,127.6638343334198
23314,127.6677496433258
23315,127.67376828193665
23316,127.67827558517456
23317,127.68444466590881
23318,127.68973994255066
23319,127.69639754295349
23320,127.70112085342407
23321,127.70550847053528
23322,127.70960664749146
23323,127.71367335319519
23324,127.71989393234253
23325,127.72353339195251
23326,127.72824144363403
23327,127.73394274711609
23328,127.73890829086304
23329,127.7425582408905
23330,127.74966931343079
23331,127.7532434463501
23332,127.75715637207031
23333,127.76369667053223
23334,127.76845717430115
23335,127.77434992790222
23336,127.78001284599304
23337,127.78446435928345
23338,127.79235100746155
23339,127.79650807380676
23340,127.80298280715942
23341,127.80794739723206
23342,127.81543898582458
23343,127.8225507736206
23344,127.8261775970459
23345,127.83190774917603
23346,127.83876609802246
23347,127.84294867515564
23348,127.84689903259277
23349,127.85271143913269
23350,127.8563175201416
23351,127.86242699623108
23352,127.86914563179016
23353,127.87383580207825
23354,127.87938404083252
23355,127.88271498680115
23356,127.8877284526825
23357,127.89194583892822
23358,127.89611315727234
23359,127.9022114276886
23360,127.9067873954773
23361,127.91217470169067
23362,127.91753721237183
23363,127.92266464233398
23364,127.92751789093018
23365,127.93248677253723
23366,127.93688321113586
23367,127.94221019744873
23368,127.94620776176453
23369,127.9524438381195
23370,127.95634412765503
23371,127.96122884750366
23372,127.9653811454773
23373,127.9701828956604
23374,127.97693347930908
23375,127.98329305648804
23376,127.988037109375
23377,127.99333262443542
23378,127.99770140647888
23379,128.00630283355713
23380,128.01081943511963
23381,128.01605200767517
23382,128.02135944366455
23383,128.02582716941833
23384,128.03001070022583
23385,128.03505492210388
23386,128.0418782234192
23387,128.04723644256592
23388,128.05260133743286
23389,128.0567603111267
23390,128.06315994262695
23391,128.06867742538452
23392,128.07226538658142
23393,128.07848262786865
23394,128.08501076698303
23395,128.08862280845642
23396,128.09329652786255
23397,128.09902143478394
23398,128.1050510406494
23399,128.1120104789734
23400,128.1187105178833
23401,128.12339568138123
23402,128.12975072860718
23403,128.13372707366943
23404,128.1418330669403
23405,128.14688420295715
23406,128.15383005142212
23407,128.15735912322998
23408,128.16644978523254
23409,128.17161011695862
23410,128.17636632919312
23411,128.1806378364563
